location_name,measure_name,cause_name,sex_name,metric_name,value_1990,value_2023,lower_1990,lower_2023,upper_1990,upper_2023,absolute_change,relative_change_pct
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,Number,84343.9843600889,287640.176635695,76071.2673932909,262683.053349182,91681.322861698,313898.457119764,203296.1922756061,241.0322369970996
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,Number,37768.8452816732,126016.836388959,34276.0083244447,114817.865511571,41490.2126397048,138480.845377505,88247.9911072858,233.65287037278551
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,Number,46575.1390784156,161623.340246736,41750.9685890861,146085.761600253,50894.1325426108,174889.765289729,115048.2011683204,247.01633413186607
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,Number,6571.03747343825,19897.966972544,4460.86531146678,13527.8101178244,9017.92519350077,27406.0310974929,13326.92949910575,202.81317148131444
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,Number,2464.58369272303,7387.05602197503,1587.47163856034,4430.66083316762,3709.02850555149,11830.4007340319,4922.472329251999,199.7283494079009
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,Number,4106.45378071521,12510.910950569,2628.93131014065,7429.24388512898,6331.79915075535,18624.3175913868,8404.45716985379,204.66459915664768
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,Number,565.034728023426,934.397331750013,388.472732752393,535.558458824321,820.583182077488,1454.19850226592,369.36260372658694,65.36989416892503
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,Number,167.332981195539,274.897222362629,99.2656425209377,147.901216933081,264.344579107346,448.077870813598,107.56424116709002,64.2815542988471
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,Number,397.701746827888,659.500109387383,246.812787426041,367.998591996073,602.095762587135,1096.0517036675,261.798362559495,65.82781309049481
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,Number,6006.00274541481,18963.569640794,4016.11441408717,12990.6114713384,8293.39738668332,26205.0920899432,12957.56689537919,215.74360593277194
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,Number,2297.2507115275,7112.1587996124,1416.02521961238,4276.86188314431,3507.76998584538,11428.3151265503,4814.9080880849,209.594367037255
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,Number,3708.75203388732,11851.4108411816,2257.44033166685,7102.12821543484,5745.12839794883,17585.8268570328,8142.6588072942795,219.552526911851
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,Number,344341.530173757,1063183.14234547,265708.441188027,828758.250562397,434680.171447409,1349646.3649128,718841.6121717129,208.75832543608107
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,Number,135845.354359673,413843.518429542,98642.0363877439,293263.246334209,181071.988474949,553308.287293477,277998.16406986903,204.6431145034397
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,Number,208496.175814084,649339.623915924,153448.903593764,480390.074980516,287407.084525984,879761.425491526,440843.44810184,211.43958462573434
Central Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Both,Number,41302.2148003097,65274.9539141846,27911.8610311892,38738.8695157074,56776.8893521925,97194.0890362612,23972.7391138749,58.04226051745569
