location_name,measure_name,cause_name,sex_name,selected_model,year,forecast,lower_95,upper_95
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,ETS,2030,26.668487799262117,22.07306951278926,31.263906085734973
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,ARIMA,2024,23.0233771664743,22.304480649882144,23.742273683066458
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,ARIMA,2025,23.0233771664743,22.0067039627669,24.040050370181703
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,ARIMA,2026,23.0233771664743,21.778211874352404,24.268542458596198
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,ARIMA,2027,23.0233771664743,21.58558413328999,24.46117019965861
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,ARIMA,2028,23.0233771664743,21.415875686586435,24.630878646362167
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,ARIMA,2029,23.0233771664743,21.26244752295926,24.784306809989342
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Female,ARIMA,2030,23.0233771664743,21.121355765180837,24.925398567767765
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,ETS,2024,46.40471692342446,45.75736696517798,47.05206688167094
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,ETS,2025,45.48691407335429,44.34905414898676,46.624773997721825
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,ETS,2026,44.56911122328412,42.76606693985659,46.37215550671164
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,ETS,2027,43.65130837321394,41.06459388618244,46.238022860245444
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,ETS,2028,42.733505523143776,39.269110266321746,46.197900779965806
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,ETS,2029,41.8157026730736,37.39361756339957,46.23778778274763
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Male,ETS,2030,40.89789982300343,35.44765962967929,46.34814001632756
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,ARIMA,2024,286.70153750933724,286.3618669200913,287.0412080985832
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,ARIMA,2025,288.6813877646714,287.72052230783004,289.64225322151276
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,ARIMA,2026,290.58730421097846,288.71111387942807,292.46349454252885
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,ARIMA,2027,292.2556338897756,289.3450489538874,295.1662188256638
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,ARIMA,2028,293.79277639722085,289.9138798638633,297.6716729305784
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,ARIMA,2029,295.25748189940833,290.50198945623475,300.0129743425819
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,ARIMA,2030,296.68219020006575,291.13577397959955,302.22860642053195
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,ARIMA,2024,244.8627814213354,244.4485125866604,245.2770502560104
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,ARIMA,2025,245.02618263976763,243.89711340276426,246.155251876771
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,ARIMA,2026,245.2675820592745,243.2159902733226,247.3191738452264
